"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2024","10.50","10.50","10.60","10.40","2.66M","0.00%"
"02/21/2024","10.50","10.30","10.60","10.30","2.65M","1.94%"
"02/20/2024","10.30","10.30","10.40","10.20","1.61M","0.98%"
"02/19/2024","10.20","10.10","10.50","10.10","4.19M","3.03%"
"02/16/2024","9.90","9.70","9.90","9.60","3.25M","3.12%"
"02/15/2024","9.60","9.70","9.80","9.60","2.05M","-1.03%"
"02/14/2024","9.70","9.60","9.80","9.60","468.15K","1.04%"
"02/13/2024","9.60","9.50","9.60","9.50","2.26M","2.13%"
"02/12/2024","9.40","9.40","9.60","9.30","2.15M","0.00%"
"02/09/2024","9.40","9.30","9.50","9.30","389.15K","1.08%"
"02/08/2024","9.30","9.30","9.50","9.20","1.05M","1.09%"
"02/07/2024","9.20","9.30","9.30","9.10","324.24K","-1.08%"
"02/06/2024","9.30","9.20","9.30","9.20","120.29K","0.00%"
"02/02/2024","9.30","9.10","9.30","9.00","181.27K","3.33%"
"02/01/2024","9.00","9.10","9.20","9.00","4.39M","0.00%"
"01/31/2024","9.00","9.00","9.10","9.00","3.86M","0.00%"
"01/30/2024","9.00","9.00","9.10","8.90","17.56M","1.12%"
"01/29/2024","8.90","8.90","9.00","8.90","4.31M","1.14%"
"01/26/2024","8.80","8.80","8.80","8.70","2.22M","2.33%"
"01/24/2024","8.60","8.70","8.70","8.60","1.05M","-1.15%"
"01/23/2024","8.70","8.80","8.80","8.60","475.28K","-1.14%"
"01/22/2024","8.80","8.80","9.00","8.70","180.38K","-1.12%"
"01/19/2024","8.90","9.00","9.00","8.80","9.13K","-1.11%"
"01/18/2024","9.00","8.70","9.00","8.70","5.49K","3.45%"
"01/17/2024","8.70","8.90","8.90","8.70","13.17K","-1.14%"
"01/16/2024","8.80","9.00","9.00","8.80","1.23M","-2.22%"
"01/12/2024","9.00","8.80","9.00","8.70","2.53M","2.27%"
"01/11/2024","8.80","9.00","9.00","8.70","3.43M","-1.12%"
"01/10/2024","8.90","9.00","9.00","8.80","111.01K","-1.11%"
"01/09/2024","9.00","8.90","9.00","8.70","6.00M","0.00%"
"01/08/2024","9.00","9.00","9.00","8.80","3.08M","0.00%"
"01/05/2024","9.00","8.80","9.10","8.80","35.13K","3.45%"
"01/04/2024","8.70","9.00","9.00","8.70","424.16K","-2.25%"
"01/03/2024","8.90","9.00","9.10","8.90","167.37K","0.00%"
"01/02/2024","8.90","8.90","9.00","8.90","154.09K","-1.11%"
"12/29/2023","9.00","8.90","9.00","8.90","63.56K","0.00%"
"12/28/2023","9.00","8.90","9.10","8.90","304.97K","1.12%"
"12/27/2023","8.90","8.80","8.90","8.70","36.92K","1.14%"
"12/22/2023","8.80","8.80","9.00","8.70","183.38K","-1.12%"
"12/21/2023","8.90","8.90","9.00","8.70","431.28K","1.14%"
"12/20/2023","8.80","8.90","8.90","8.80","1.16M","-1.12%"
"12/19/2023","8.90","9.00","9.00","8.80","1.21M","0.00%"
"12/18/2023","8.90","9.00","9.00","8.90","554.35K","0.00%"
"12/15/2023","8.90","9.00","9.00","8.80","1.14M","0.00%"
"12/14/2023","8.90","9.00","9.20","8.80","1.11M","-1.11%"
"12/13/2023","9.00","9.10","9.10","9.00","209.44K","-1.10%"
"12/12/2023","9.10","9.10","9.20","9.00","17.51K","0.00%"
"12/11/2023","9.10","9.20","9.20","9.00","32.36K","0.00%"
"12/08/2023","9.10","9.10","9.20","9.00","3.15M","1.11%"
"12/07/2023","9.00","9.10","9.10","9.00","342.21K","-1.10%"
"12/06/2023","9.10","9.10","9.10","9.00","220.60K","0.00%"
"12/05/2023","9.10","9.20","9.20","9.00","67.59K","0.00%"
"12/04/2023","9.10","9.00","9.20","9.00","89.51K","1.11%"
"12/01/2023","9.00","9.20","9.20","8.90","135.07K","1.12%"
"11/30/2023","8.90","9.20","9.20","8.90","614.39K","-3.26%"
"11/29/2023","9.20","9.20","9.20","9.00","40.59K","1.10%"
"11/28/2023","9.10","9.10","9.20","9.10","9.24K","-1.09%"
"11/27/2023","9.20","9.20","9.20","9.00","33.21K","0.00%"
"11/24/2023","9.20","9.20","9.20","9.00","99.23K","1.10%"
"11/23/2023","9.10","9.20","9.20","9.00","61.10K","-1.09%"
"11/22/2023","9.20","9.20","9.20","9.10","5.45K","0.00%"
"11/21/2023","9.20","9.20","9.30","9.00","25.35K","0.00%"
"11/20/2023","9.20","9.20","9.30","9.10","12.35K","2.22%"
"11/17/2023","9.00","9.20","9.20","9.00","592.37K","-3.23%"
"11/16/2023","9.30","9.10","9.30","9.10","49.70K","1.09%"
"11/15/2023","9.20","9.00","9.30","8.90","1.11M","2.22%"
"11/14/2023","9.00","9.80","9.80","8.90","5.47M","-4.26%"
"11/13/2023","9.40","9.60","9.60","9.30","378.94K","-1.05%"
"11/10/2023","9.50","9.80","9.80","9.40","288.69K","-2.06%"
"11/09/2023","9.70","9.80","9.80","9.60","1.41M","-1.02%"
"11/08/2023","9.80","9.80","9.80","9.70","62.62K","0.00%"
"11/07/2023","9.80","9.90","10.00","9.80","4.04M","1.03%"
"11/06/2023","9.70","9.80","9.90","9.70","10.26K","-1.02%"
"11/03/2023","9.80","9.70","9.80","9.70","71.82K","1.03%"
"11/02/2023","9.70","9.60","9.80","9.60","100.98K","1.04%"
"11/01/2023","9.60","9.50","9.70","9.50","12.47K","2.13%"
"10/31/2023","9.40","9.50","9.50","9.40","10.58M","-1.05%"
"10/30/2023","9.50","9.60","9.60","9.40","30.45K","2.15%"
"10/27/2023","9.30","9.40","9.70","9.10","649.40K","-1.06%"
"10/26/2023","9.40","9.60","9.80","9.40","500.54K","-2.08%"
"10/25/2023","9.60","9.90","9.90","9.60","297.51K","-1.03%"
"10/24/2023","9.70","9.90","9.90","9.70","327.90K","-1.02%"
"10/23/2023","9.80","9.90","9.90","9.80","306.51K","-1.01%"
"10/20/2023","9.90","9.90","10.30","9.80","370.81K","-1.00%"
"10/19/2023","10.00","10.00","10.10","9.90","175.74K","0.00%"
